"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"climateData","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.0.0.9007","climateData","PredictiveEcology","development","3b5d02ef378228b9e4786aad4e770ab1b1786120"
"clipr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.8.0",NA,NA,NA,NA
"coda","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.19-4",NA,NA,NA,NA
"colorspace","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.1-0",NA,NA,NA,NA
"commonmark","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.8.1",NA,NA,NA,NA
"corrplot","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.92",NA,NA,NA,NA
"cowplot","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.1",NA,NA,NA,NA
"cpp11","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4.3",NA,NA,NA,NA
"crayon","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.5.2",NA,NA,NA,NA
"curl","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","5.0.0",NA,NA,NA,NA
"data.table","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.14.8",NA,NA,NA,NA
"DBI","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.3",NA,NA,NA,NA
"deldir","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0-6",NA,NA,NA,NA
"DEoptim","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.2-8",NA,NA,NA,NA
"DEoptimR","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0-11",NA,NA,NA,NA
"desc","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4.2",NA,NA,NA,NA
"details","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.0",NA,NA,NA,NA
"diffobj","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.5",NA,NA,NA,NA
"digest","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.6.31",NA,NA,NA,NA
"disk.frame","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.8.1",NA,NA,NA,NA
"dismo","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.3-9",NA,NA,NA,NA
"doParallel","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.17",NA,NA,NA,NA
"dplyr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.0",NA,NA,NA,NA
"dqrng","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.0",NA,NA,NA,NA
"e1071","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.7-13",NA,NA,NA,NA
"ellipsis","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.3.2",NA,NA,NA,NA
"EnvStats","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.7.0",NA,NA,NA,NA
"evaluate","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.20",NA,NA,NA,NA
"fansi","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.4",NA,NA,NA,NA
"farver","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.1.1",NA,NA,NA,NA
"fastdigest","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.6-3",NA,NA,NA,NA
"fastDummies","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.6.3",NA,NA,NA,NA
"fasterize","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.4",NA,NA,NA,NA
"fastmap","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.1",NA,NA,NA,NA
"fastmatch","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1-3",NA,NA,NA,NA
"fastmatrix","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4-1245",NA,NA,NA,NA
"fastshp","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1-2","fastshp","s-u","HEAD","3e0eb833f6292013423d93c71f7c26f6dc2d70f1"
"fireSenseUtils","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.0.5.9048","fireSenseUtils","PredictiveEcology","dev-stable","2d44913bc69bb678a8adb47749a577f2bfe0adce"
"FNN","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.3.1",NA,NA,NA,NA
"fontawesome","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.5.0",NA,NA,NA,NA
"forcats","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.0",NA,NA,NA,NA
